Size,Male,English,Adult,NUST,Arrival,Affiliate,Employed,U,V,y,Simulated_V,Optimal_V,theta,theta_original,Simulated_Y,Successful_match
1,1,1,1,0,2013-10-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,1,0,2014-07-01,46,1,8,14,0,14,14,0.6316387682097876,0.6316387682097876,0,0
1,1,1,0,0,2014-05-01,13,0,4,5,1,5,5,0.6085007699205213,0.6085007699205213,1,0
1,1,1,1,0,2017-10-01,30,1,8,9,1,9,9,0.7792245637102155,0.7792245637102155,1,0
1,1,1,1,0,2014-05-01,8,0,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,1,0,1,1,2014-07-01,8,0,6,4,1,16,16,0.3373619051891003,0.3373619051891003,1,1
1,1,1,1,0,2014-10-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,1,0,2015-02-01,3,0,8,2,0,2,2,0.2640003141093337,0.2640003141093337,0,0
1,1,1,1,0,2014-08-01,8,1,8,4,1,4,4,0.4590782597387315,0.4590782597387315,1,0
1,0,1,1,0,2015-03-01,6,0,7,3,0,3,3,0.1274431312383761,0.1274431312383761,0,0
1,1,1,1,0,2017-06-01,6,1,8,3,1,3,3,0.2963005397489914,0.2963005397489914,1,0
1,1,1,1,0,2014-06-01,3,0,8,2,1,2,2,0.2640003141093337,0.2640003141093337,1,0
1,1,1,1,0,2014-08-01,45,1,8,13,0,13,13,0.6729691579584586,0.6729691579584586,0,0
1,1,1,1,0,2014-09-01,55,1,8,17,1,17,17,0.3277099296717538,0.3277099296717538,1,0
1,1,1,1,0,2014-07-01,26,1,8,8,0,8,8,0.4712752162076691,0.4712752162076691,0,0
1,1,1,1,1,2014-05-01,8,1,8,4,0,13,14,0.4590782597387315,0.4590782597387315,0,1
1,1,1,1,0,2014-07-01,30,1,8,9,1,9,9,0.7792245637102155,0.7792245637102155,1,0
1,1,1,0,0,2014-09-01,3,0,4,2,0,2,2,0.2148474479987802,0.2148474479987802,0,0
1,1,1,1,1,2014-05-01,8,1,8,4,0,7,13,0.4590782597387315,0.4590782597387315,0,1
1,1,1,1,0,2014-09-01,6,1,8,3,0,3,3,0.2963005397489914,0.2963005397489914,0,0
1,1,1,1,1,2015-04-01,22,0,8,7,0,15,14,0.4519997332776495,0.4519997332776495,1,1
1,1,1,0,0,2014-09-01,55,1,4,17,1,17,17,0.21312867676319397,0.21312867676319397,1,0
1,1,1,1,0,2015-04-01,8,0,8,4,0,4,4,0.4590782597387315,0.4590782597387315,0,0
