theta,U,V,name,n,s,succes_rate
0.4278077544645498,3,16,beta_3_16,29,12,0.41379310344827586
0.5820726313285821,4,16,beta_4_16,55,31,0.5636363636363636
0.3832702136800128,5,16,beta_5_16,68,28,0.4117647058823529
0.6499066115530624,6,16,beta_6_16,144,95,0.6597222222222222
0.4336551084965769,7,16,beta_7_16,36,13,0.3611111111111111
0.7116911484154131,8,16,beta_8_16,154,110,0.7142857142857143
0.03417120551990301,1,17,beta_1_17,121,4,0.03305785123966942
0.08835018623490283,2,17,beta_2_17,89,8,0.0898876404494382
0.11113875108491526,3,17,beta_3_17,38,3,0.07894736842105263
0.21312867676319397,4,17,beta_4_17,44,9,0.20454545454545456
0.06622614765171411,5,17,beta_5_17,171,9,0.05263157894736842
0.27194801443975236,6,17,beta_6_17,200,57,0.285
0.13747949640947388,7,17,beta_7_17,89,11,0.12359550561797752
0.3277099296717538,8,17,beta_8_17,219,73,0.3333333333333333
