Year,Mean_actual,Mean_simulated
2011,0.3839425489213435,0.3839425489213435
2012,0.3784396482372373,0.3870840012415406
2013,0.44614968190963705,0.46979416812093056
2014,0.4379117280735853,0.4633813017026309
2015,0.37296141833515595,0.41343190882797615
2016,0.4143058725030594,0.4547785905697959
2017,0.42575058592759935,0.46870303995752216
2018,0.3890047853489916,0.4150081439556609
2019,0.3700155351912208,0.400130052929625
